F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.6181,400.0,400.44647,446.47217
400.44357,400.0,400.2715,271.5149
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.2109,400.0,400.0383,38.29956
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.6181,400.0,400.44647,446.47217
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.5599,400.0,400.38812,388.12256
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.6181,400.0,400.44647,446.47217
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.50174,400.0,400.32983,329.83398
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.09454,400.0,399.92166,-78.33862
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.6181,400.0,400.44647,446.47217
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.50174,400.0,400.32983,329.83398
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.2109,400.0,400.0383,38.29956
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.5599,400.0,400.38812,388.12256
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.2109,400.0,400.0383,38.29956
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.6181,400.0,400.44647,446.47217
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.2109,400.0,400.0383,38.29956
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.6181,400.0,400.44647,446.47217
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.2109,400.0,400.0383,38.29956
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.26907,400.0,400.09662,96.61865
400.2109,400.0,400.0383,38.29956
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.2109,400.0,400.0383,38.29956
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.1527,400.0,399.97998,-20.019531
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.1527,400.0,399.97998,-20.019531
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.1527,400.0,399.97998,-20.019531
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.67627,400.0,400.50476,504.76074
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.5599,400.0,400.38812,388.12256
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.1527,400.0,399.97998,-20.019531
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.26907,400.0,400.09662,96.61865
400.5599,400.0,400.38812,388.12256
400.6181,400.0,400.44647,446.47217
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.73444,400.0,400.56308,563.07983
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.2109,400.0,400.0383,38.29956
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.50174,400.0,400.32983,329.83398
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.5599,400.0,400.38812,388.12256
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.26907,400.0,400.09662,96.61865
400.50174,400.0,400.32983,329.83398
400.26907,400.0,400.09662,96.61865
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.26907,400.0,400.09662,96.61865
400.5599,400.0,400.38812,388.12256
400.6181,400.0,400.44647,446.47217
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.26907,400.0,400.09662,96.61865
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.2109,400.0,400.0383,38.29956
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.26907,400.0,400.09662,96.61865
400.3854,400.0,400.21323,213.22632
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.5599,400.0,400.38812,388.12256
400.3854,400.0,400.21323,213.22632
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.5599,400.0,400.38812,388.12256
400.32724,400.0,400.1549,154.90723
400.44357,400.0,400.2715,271.5149
400.3854,400.0,400.21323,213.22632
400.3854,400.0,400.21323,213.22632
400.2109,400.0,400.0383,38.29956
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.3854,400.0,400.21323,213.22632
400.44357,400.0,400.2715,271.5149
400.32724,400.0,400.1549,154.90723
400.32724,400.0,400.1549,154.90723
400.50174,400.0,400.32983,329.83398
400.5599,400.0,400.38812,388.12256
400.6181,400.0,400.44647,446.47217
400.50174,400.0,400.32983,329.83398
400.44357,400.0,400.2715,271.5149
400.44357,400.0,400.2715,271.5149
400.26907,400.0,400.09662,96.61865
